month,food_gen,investment,salary,house_built,sale,salary_arrears,agricultural_industry,food_price
24121,102.13,12710.7,17458.1,19.6,23016,126079,59.8,2131.66
24122,104.65,12710.7,17458.1,50.5,22288,129458,59.8,2176.55
24123,102.53,12710.7,17458.1,88.5,25007,125870,59.8,2202.89
24124,101.89,37426.3,20081.3,152.8,25071,125311,56.8,2208.52
24125,99.52,37426.3,20081.3,234.1,25703,127284,56.8,2239.31
24126,98.04,37426.3,20081.3,300.8,26272,138976,56.8,2247.28
24127,100.82,63366.9,19331.4,318.9,27252,182495,55.3,2286.87
24128,100.31,63366.9,19331.4,364.6,27916,175579,55.3,2320.93
24129,102.49,63366.9,19331.4,414.3,26715,186009,55.3,2383.97
24130,106.36,98856.8,22240.4,480.4,27726,135204,72.3,2445.48
24131,101.58,98856.8,22240.4,564,27126,110220,72.3,2515.06
24132,100.71,98856.8,22240.4,691.4,32057,148794,72.3,2701.17
24133,99.29,14700.8,19092.4,22.2,26180,127663,58.8,2933.78
24134,102.74,14700.8,19092.4,44.1,25514,131870,58.8,2971.34
24135,101.24,14700.8,19092.4,103.3,28068,122364,58.8,2948.14
24136,104.1,35636.7,21392.4,130,29181,118475,54.6,2954.57
24137,97.38,35636.7,21392.4,198.6,30056,118379,54.6,2880.71
24138,95.96,35636.7,21392.4,244.4,31117,130877,54.6,2855.04
24139,97.14,66940.2,20914,299,31469,105545,62.4,2781.17
24140,100.86,66940.2,20914,354.1,32489,104731,62.4,2553.01
24141,104.3,66940.2,20914,421.5,30984,97950,62.4,2405.97
24142,100.97,103884.8,23790.2,460.5,31932,105449,89.4,2384.03
24143,101.01,103884.8,23790.2,534.8,31729,104238,89.4,2381.73
24144,101.65,103884.8,23790.2,731.8,37157,86915,89.4,2394
24145,97.94,15716.3,20027.3,15.4,30003,83082,55.4,2424.52
24146,102.63,15716.3,20027.3,40.5,29309,85694,55.4,2437.14
24147,99,15716.3,20027.3,85.6,32130,117922,55.4,2463.87
24148,102.68,42241.9,23622.1,120.7,32382,108559,66.9,2478.96
24149,100.35,42241.9,23622.1,168.1,33345,97114,66.9,2515.53
24150,95.59,42241.9,23622.1,237.1,33497,86152,66.9,2606.91
24151,94.53,72431.7,22632.3,276,34002,83820,75.2,2708.82
24152,100.75,72431.7,22632.3,316.1,35263,87423,75.2,2589.72
24153,103.33,72431.7,22632.3,400.1,33606,88805,75.2,2496.84
24154,103.41,126063,27093.4,461.7,33892,99809,116.3,2519.7
24155,101.54,126063,27093.4,568.3,34239,75636,116.3,2570.12
24156,103.23,126063,27093.4,822.6,40059,103681,116.3,2598.96
24157,101.33,21316.1,22575.2,25.6,32745,66673,51.1,2640.03
24158,98.15,21316.1,22575.2,62,33332,72751,51.1,2664.97
24159,100.33,21316.1,22575.2,109.3,36351,71680,51.1,2676.1
24160,100.23,58770.4,24666.4,164,36615,87589,60.5,2776.03
24161,103.35,58770.4,24666.4,199.9,38110,58026,60.5,2882.04
24162,96.65,58770.4,24666.4,238,38271,58375,60.5,3045.09
24163,96.88,100536.3,24631,285.3,39005,58311,63.5,3020.86
24164,95.85,100536.3,24631,327.9,39834,63564,63.5,2781.38
24165,105.54,100536.3,24631,369.8,38237,66105,63.5,2651.71
24166,103.83,159170.1,27972.7,469.4,39205,58105,311.5,2698.78
24167,107.12,159170.1,27972.7,540.9,38903,53045,311.5,2740.96
24168,100.38,159170.1,27972.7,1004.1,42687,63902,311.5,2792.06
24169,99.96,26690.7,23876.9,22.9,35513,56470,115.8,2858.56
24170,97.76,26690.7,23876.9,115.9,35716,55356,115.8,2917.97
24171,101.78,26690.7,23876.9,191,39157,58837,115.8,3016.87
24172,101.03,61637.8,27252.3,253.4,39529,57016,116.1,3066.73
24173,97.17,61637.8,27252.3,319.6,40535,80209,116.1,3162.98
24174,96.73,61637.8,27252.3,377.8,40568,58286,116.1,3246.82
24175,104.71,108526.6,27783.6,478.4,41545,53942,121.9,3173.94
24176,101.49,108526.6,27783.6,549.8,41806,46421,121.9,2956.86
24177,98.81,108526.6,27783.6,645.3,40719,36933,121.9,2892.18
24178,103.32,154306,30084.8,747.5,42081,16946,189.3,2905.44
24179,102.04,154306,30084.8,929,42030,19485,189.3,2989.68
24180,104.7,154306,30084.8,1103.2,48173,18300,189.3,3159.94
24181,102.19,32100.2,28193.3,44.4,37510,27534,155.3,3443.61
24182,103.41,32100.2,28193.3,215.2,36353,21272,155.3,3584.36
24183,100.59,32100.2,28193.3,290,40357,18679,155.3,3638.52
24184,100.91,68703.9,32017.1,380.6,40318,18250,73.9,3689.82
24185,98.96,68703.9,32017.1,426.3,40652,11705,73.9,3712.91
24186,97.77,68703.9,32017.1,502.9,41163,29110,73.9,3643.72
24187,99.45,122518.8,32443.4,571.5,40894,33139,120.7,3703.23
24188,99.9,122518.8,32443.4,605,40448,28353,120.7,3515.62
24189,99.26,122518.8,32443.4,686.5,38253,30128,120.7,3375.33
24190,101.71,180977.1,33706.7,748.4,40035,37667,120.5,3373.85
24191,101.96,180977.1,33706.7,861.5,38882,14667,120.5,3427.54
24192,101.77,180977.1,33706.7,1152.2,43182,17486,120.5,3498.68
24193,98.95,29594.4,25379.7,19,38234,3271,52.9,3556.42
24194,99.57,29594.4,25379.7,69.1,37612,15786,52.9,3564.7
24195,99.03,29594.4,25379.7,158.8,40035,20032,52.9,3586.8
24196,97.47,72710.9,27455.6,238.5,39374,52156,47.4,3588.05
